iter	RMSE
0	25.72609846
1	24.98124726
2	24.21927362
3	23.51372728
4	22.7816348
5	22.13468938
6	21.5044184
7	20.8752289
8	20.27962756
9	19.67412117
10	19.09695091
11	18.52947679
12	18.00124163
13	17.49864718
14	16.98321033
15	16.47348606
16	15.97967099
17	15.52291253
18	15.09747555
19	14.7049191
20	14.26623324
21	13.87770634
22	13.50904166
23	13.13188133
24	12.78135691
25	12.44431547
26	12.12585748
27	11.80954453
28	11.47828409
29	11.19150743
30	10.91860088
31	10.63072555
32	10.33998651
33	10.0777612
34	9.833799998
35	9.589687586
36	9.374796964
37	9.144195486
38	8.916909261
39	8.701307621
40	8.489091205
41	8.297420267
42	8.099881829
43	7.908035757
44	7.716042387
45	7.535288912
46	7.39030601
47	7.214886165
48	7.048086357
49	6.896395983
50	6.750805159
51	6.602948916
52	6.456781734
53	6.313007166
54	6.17887354
55	6.054460567
56	5.94853142
57	5.82770111
58	5.701453848
59	5.579007092
60	5.458107193
61	5.345113241
62	5.246572702
63	5.154953278
64	5.058152738
65	4.959562687
66	4.867958811
67	4.791525073
68	4.711849498
69	4.625777074
70	4.545996965
71	4.470776025
72	4.392429318
73	4.320282408
74	4.25118941
75	4.191395675
76	4.138127085
77	4.074624228
78	4.009957536
79	3.959270271
80	3.903192591
81	3.844840134
82	3.798062547
83	3.751629489
84	3.707820107
85	3.660089282
86	3.614225986
87	3.570442828
88	3.52622593
89	3.48695624
90	3.435504829
91	3.404280448
92	3.369694848
93	3.338255942
94	3.29869199
95	3.269399599
96	3.241213713
97	3.214126431
98	3.179385238
99	3.149695603
100	3.117830344
101	3.082801451
102	3.052030644
103	3.024960668
104	2.996889962
105	2.972647677
106	2.949157118
107	2.927992419
108	2.907985947
109	2.882380011
110	2.862711165
111	2.842277182
112	2.824961154
113	2.806934619
114	2.791379765
115	2.770873963
116	2.751937793
117	2.734795943
118	2.719792516
119	2.702570237
120	2.688074498
121	2.670797796
122	2.655097981
123	2.640446706
124	2.627572161
125	2.615055863
126	2.601629329
127	2.589065114
128	2.573977378
129	2.558384718
130	2.54463752
131	2.533189923
132	2.515837768
133	2.505237006
134	2.492586342
135	2.482230793
136	2.471606515
137	2.459267637
138	2.451407177
139	2.437036507
140	2.42732985
141	2.417125369
142	2.406123503
143	2.393573719
144	2.384049854
145	2.374826288
146	2.365251868
147	2.355072365
148	2.345241878
149	2.334541293
150	2.323828093
151	2.313473947
152	2.303445982
153	2.296606394
154	2.287958039
155	2.275130375
156	2.263812999
157	2.252346801
158	2.24431077
159	2.23547658
160	2.227615801
161	2.217568852
162	2.209827216
163	2.199195161
164	2.190324018
165	2.182756406
166	2.170444064
167	2.162882673
168	2.155621935
169	2.145461698
170	2.134930509
171	2.126091522
172	2.120231938
173	2.111947977
174	2.104090973
175	2.096820585
176	2.090112398
177	2.078018855
178	2.072178198
179	2.063610826
180	2.055989946
181	2.049511247
182	2.041592775
183	2.035222361
184	2.02965284
185	2.023889809
186	2.017921213
187	2.010711625
188	2.002838088
189	1.989461821
190	1.982062365
191	1.973075481
192	1.96754396
193	1.960932772
194	1.954349785
195	1.949241668
196	1.941908583
197	1.936599919
198	1.930643292
199	1.921225263
200	1.913139578
201	1.909210369
202	1.901924369
203	1.897141663
204	1.891034832
205	1.884746745
206	1.877804356
207	1.871279471
208	1.864475101
209	1.857738138
210	1.852697211
211	1.846561209
212	1.837986261
213	1.831806822
214	1.823728819
215	1.818646945
216	1.809174409
217	1.803313487
218	1.795126928
219	1.788927503
220	1.781710658
221	1.776990368
222	1.77154231
223	1.764153331
224	1.756652233
225	1.751329522
226	1.747074597
227	1.74257501
228	1.73588656
229	1.728445454
230	1.723389155
231	1.715048658
232	1.707836147
233	1.700832628
234	1.693967521
235	1.685842211
236	1.682052212
237	1.675911344
238	1.669336655
239	1.665703425
240	1.657870861
241	1.653295985
242	1.647087001
243	1.641632477
244	1.636636235
245	1.632642816
246	1.627051348
247	1.621813784
248	1.616045758
249	1.609802349
250	1.60312894
251	1.598105255
252	1.589490511
253	1.583989531
254	1.578704508
255	1.573337968
256	1.567733617
257	1.562754305
258	1.556615
259	1.551841959
260	1.546454842
261	1.542491909
262	1.535661349
263	1.530504491
264	1.523997747
265	1.517831613
266	1.512749201
267	1.509151674
268	1.505221068
269	1.499033296
270	1.493876887
271	1.489463652
272	1.48248975
273	1.478717586
274	1.472371851
275	1.467307249
276	1.463206634
277	1.458506883
278	1.453809327
279	1.448830252
280	1.445311708
281	1.440932448
282	1.436486277
283	1.431628353
284	1.427185624
285	1.423190138
286	1.419062571
287	1.416966972
288	1.411668566
289	1.407773029
290	1.405198385
291	1.402500646
292	1.397063378
293	1.393265945
294	1.389984157
295	1.385405242
296	1.380240631
297	1.378068989
298	1.374511239
299	1.369733527
300	1.364391643
301	1.358938753
302	1.352711378
303	1.347068961
304	1.342628288
305	1.338573251
306	1.333866761
307	1.329990128
308	1.326102302
309	1.322688847
310	1.318222132
311	1.314681168
312	1.308258338
313	1.304702606
314	1.301415792
315	1.297266957
316	1.294328651
317	1.291682676
318	1.288672693
319	1.286650347
320	1.283714542
321	1.277619981
322	1.274203845
323	1.269449737
324	1.265094105
325	1.263205686
326	1.258562288
327	1.254119496
328	1.251024455
329	1.247346293
330	1.24270517
331	1.239804423
332	1.237195897
333	1.233470229
334	1.229910932
335	1.226239722
336	1.223692011
337	1.220815098
338	1.218903092
339	1.214954543
340	1.211841359
341	1.207682478
342	1.202103511
343	1.199175067
344	1.19625936
345	1.192417366
346	1.187336629
347	1.183859338
348	1.180443194
349	1.178708481
350	1.17576242
351	1.170568414
352	1.164451507
353	1.159500273
354	1.15682791
355	1.154714972
356	1.151277756
357	1.149163877
358	1.145896368
359	1.142131316
360	1.13763877
361	1.133581369
362	1.130909706
363	1.128559042
364	1.124909734
365	1.121493577
366	1.119292861
367	1.115772516
368	1.112649281
369	1.109452562
370	1.10756326
371	1.103641641
372	1.102697222
373	1.101173866
374	1.098390303
375	1.094300443
376	1.091204245
377	1.087168521
378	1.085022307
379	1.082828708
380	1.080511386
381	1.076735584
382	1.073374431
383	1.072468763
384	1.067429382
385	1.065998691
386	1.062866918
387	1.05988166
388	1.056728576
389	1.054058271
390	1.052354314
391	1.048723651
392	1.044991552
393	1.042913349
394	1.040812828
395	1.038801729
396	1.035566054
397	1.032618996
398	1.03027098
399	1.02754861
400	1.025320299
401	1.022368111
402	1.020680606
403	1.018147977
404	1.015696922
405	1.011921419
406	1.010060633
407	1.008124569
408	1.006473243
409	1.005151339
410	1.003627937
411	0.9998124873
412	0.9961713051
413	0.9924871804
414	0.9900566878
415	0.9887204271
416	0.9875682439
417	0.9850926139
418	0.9817810406
419	0.9785519442
420	0.976286447
421	0.9732168479
422	0.9696835207
423	0.9664508317
424	0.9632487009
425	0.9599507134
426	0.9561385746
427	0.954200101
428	0.9513727823
429	0.9501809466
430	0.9484626544
431	0.9461660321
432	0.9441432887
433	0.9434011431
434	0.9430930808
435	0.9402927147
436	0.9369328532
437	0.9356737942
438	0.9331584867
439	0.9309042215
440	0.9305199588
441	0.9301608902
442	0.9272996779
443	0.9269877898
444	0.9242617548
445	0.9221165316
446	0.920273214
447	0.9185414891
448	0.9162896516
449	0.9134914645
450	0.9112286401
451	0.9085624071
452	0.9058677235
453	0.9043490756
454	0.902964623
455	0.9001648073
456	0.8988611008
457	0.8955293172
458	0.8943007746
459	0.892595044
460	0.8909229204
461	0.8905584744
462	0.8890221346
463	0.8870156088
464	0.8843981506
465	0.8834134563
466	0.8809556013
467	0.8807215577
468	0.8784792581
469	0.8757869096
470	0.8749310839
471	0.8714178143
472	0.8690982344
473	0.8683885053
474	0.8672701687
475	0.8644270044
476	0.8636363415
477	0.8615707056
478	0.8601304866
479	0.8578236027
480	0.8557150461
481	0.8525549248
482	0.8503971883
483	0.8478997311
484	0.8450973571
485	0.8434805489
486	0.8431389734
487	0.8408994656
488	0.8401254919
489	0.8374305347
490	0.8354505104
491	0.8338822795
492	0.8317362079
493	0.8301539498
494	0.8274185373
495	0.8271315633
496	0.824356694
497	0.8210240737
498	0.8207756339
499	0.8189471709
500	0.8174487033
501	0.815968553
502	0.8134883662
503	0.8111372235
504	0.8085653603
505	0.8067361502
506	0.8047761812
507	0.8032284757
508	0.8002932522
509	0.7984764661
510	0.796895255
511	0.7952427277
512	0.7920270632
513	0.7907784216
514	0.7880463359
515	0.7862964004
516	0.785069569
517	0.7834120349
518	0.7820394823
519	0.7798424606
520	0.7775547073
521	0.7758420021
522	0.7741786737
523	0.7738871309
524	0.7720203001
525	0.7700065478
526	0.7687665224
527	0.7659409308
528	0.7646461165
529	0.7643407377
530	0.7631248898
531	0.7616714066
532	0.7587039565
533	0.7573993777
534	0.7553669922
535	0.754033222
536	0.7523145975
537	0.75042641
538	0.7484429792
539	0.7471550464
540	0.7448583681
541	0.7431877781
542	0.7411143529
543	0.7394433249
544	0.737496924
545	0.7361558829
546	0.7343839979
547	0.7326927163
548	0.7306818418
549	0.7295119447
550	0.7272688552
551	0.7248599569
552	0.7236678831
553	0.721481918
554	0.7193205035
555	0.717936028
556	0.7159977931
557	0.7142842313
558	0.712235009
559	0.7105096121
560	0.7094301894
561	0.7080791251
562	0.7069620199
563	0.7056221128
564	0.7053452047
565	0.7032346229
566	0.7010308493
567	0.7009110781
568	0.699893201
569	0.698306181
570	0.697150835
571	0.6950555509
572	0.6938367561
573	0.6917616574
574	0.6913156791
575	0.6893223134
576	0.6877090781
577	0.6856799712
578	0.6852601075
579	0.6839362621
580	0.6823020691
581	0.6798516298
582	0.6782659746
583	0.6765832717
584	0.6764122969
585	0.6739472027
586	0.6724918911
587	0.6711261577
588	0.6695451056
589	0.6687344646
590	0.6685497437
591	0.6670752135
592	0.6664413701
593	0.6647987586
594	0.6633355196
595	0.6613277848
596	0.6596920061
597	0.6582627432
598	0.6570252338
599	0.6552274016
600	0.6537496774
601	0.6519060574
602	0.6505147517
603	0.6494696533
604	0.6475400305
605	0.6456810792
606	0.6442995443
607	0.6423639478
608	0.640628436
609	0.6404642602
610	0.6390171185
611	0.6378266748
612	0.6365950032
613	0.6350832632
614	0.6340089825
615	0.6325841876
616	0.631360209
617	0.6302516896
618	0.6289876797
619	0.6271457447
620	0.6261268876
621	0.6237714859
622	0.6227271948
623	0.6205250244
624	0.618462563
625	0.6168320361
626	0.6153693272
627	0.6137986323
628	0.6125103577
629	0.6118082215
630	0.6092899994
631	0.6079305187
632	0.6064119193
633	0.6060301721
634	0.6057434736
635	0.6055796906
636	0.6038967907
637	0.6029929993
638	0.601469493
639	0.6012052899
640	0.5989661163
641	0.5978353219
642	0.5967363372
643	0.5964090924
644	0.5947435224
645	0.5932853079
646	0.5913407062
647	0.5908934887
648	0.5900064257
649	0.5886266482
650	0.5872176572
651	0.5857687777
652	0.5840619412
653	0.5824045489
654	0.5811926598
655	0.5797675585
656	0.5787142703
657	0.5779486019
658	0.5766180148
659	0.5752544391
660	0.5748322156
661	0.5742473576
662	0.5735988745
663	0.5718106123
664	0.5705227642
665	0.5693708893
666	0.5680496797
667	0.567121539
668	0.5657164008
669	0.5643529037
670	0.5629480253
671	0.5618393299
672	0.5603717661
673	0.5595049895
674	0.5584104524
675	0.5574979807
676	0.5561317507
677	0.554531467
678	0.5530291728
679	0.5522675157
680	0.5510814582
681	0.5494338259
682	0.5484567558
683	0.5470705022
684	0.5458022108
685	0.5444689869
686	0.5432360965
687	0.5412576688
688	0.5408869275
689	0.5395488002
690	0.5384177548
691	0.5372143077
692	0.5361672364
693	0.5344377028
694	0.5330631315
695	0.5321802105
696	0.5312581283
697	0.5294276804
698	0.5278503352
699	0.5270591809
700	0.5260468063
701	0.5250075389
702	0.5239301757
703	0.5236699495
704	0.5222500625
705	0.5214567144
706	0.5206071467
707	0.5196269085
708	0.5181983675
709	0.5168269404
710	0.5154869275
711	0.5149227895
712	0.5138943887
713	0.5122000191
714	0.5113801999
715	0.5101535318
716	0.5096857566
717	0.508665223
718	0.5076518525
719	0.5069994173
720	0.5054051576
721	0.5048205232
722	0.5036339837
723	0.5027724224
724	0.5010675665
725	0.5009658537
726	0.5001008941
727	0.4986571445
728	0.4973009922
729	0.4957403715
730	0.4943718699
731	0.4932485887
732	0.4919893157
733	0.4913487506
734	0.4899318339
735	0.488917778
736	0.4881633604
737	0.4872408095
738	0.4860935646
739	0.4851665358
740	0.4839851515
741	0.4830640452
742	0.4822255381
743	0.4813486556
744	0.480072676
745	0.4792815313
746	0.4774564676
747	0.4763757094
748	0.4752679132
749	0.474874259
750	0.4737431661
751	0.4727967101
752	0.4721059046
753	0.4707091777
754	0.4698737416
755	0.4692260532
756	0.4685159263
757	0.4676311603
758	0.4662083345
759	0.4652886964
760	0.463969752
761	0.4637279627
762	0.4629381594
763	0.4618219185
764	0.4599972779
765	0.459112982
766	0.4580825287
767	0.4571030561
768	0.4565544917
769	0.4553482116
770	0.4543274462
771	0.4537301265
772	0.4533424022
773	0.4524466707
774	0.4516710122
775	0.450699175
776	0.4493384574
777	0.4491995203
778	0.4485321924
779	0.4481896565
780	0.4474603065
781	0.4462313093
782	0.4454985218
783	0.4445212035
784	0.4438735384
785	0.4431008129
786	0.4425127702
787	0.4413104486
788	0.4406786158
789	0.4401506998
790	0.4392542605
791	0.4382669453
792	0.4376116411
793	0.4364632433
794	0.4356497193
795	0.4353126667
796	0.4341965418
797	0.4337177456
798	0.4326324592
799	0.4320106803
800	0.431141175
801	0.4300233233
802	0.4287171235
803	0.4279887568
804	0.4275567156
805	0.4268058435
806	0.4257302719
807	0.4246021314
808	0.423696608
809	0.4227187309
810	0.4217251062
811	0.4207949165
812	0.4199925107
813	0.4187956689
814	0.4180649129
815	0.4176109588
816	0.4164479378
817	0.4158666181
818	0.4155006606
819	0.4147836169
820	0.414631713
821	0.4137712578
822	0.4130278271
823	0.4121267292
824	0.4113927225
825	0.4110692673
826	0.4101512186
827	0.4097356467
828	0.4090849276
829	0.4084103185
830	0.4078027445
831	0.4072228624
832	0.4064465812
833	0.4057752318
834	0.404631825
835	0.4038957109
836	0.4032834003
837	0.4024759873
838	0.4015807562
839	0.400896132
840	0.4000187584
841	0.3989520869
842	0.3981429219
843	0.3975439371
844	0.3961870338
845	0.3953914003
846	0.394611229
847	0.3936241906
848	0.3926136523
849	0.3919457862
850	0.3911719741
851	0.3905006826
852	0.389495746
853	0.3884197857
